D (m),L (m),P (kPa),G (kg m-2s-1),Tin (C),Xe (-),CHF (kW m-2)
0.004872949,0.3988764199187635,464.9104490018058,498.09262104687673,109.97776252200354,0.3898672208928372,1529.4402136178678
0.005918419,0.5104458117118508,312.71238350216305,101.26787286546428,45.40729023772848,0.6818190245626523,573.6477548
0.007429041,0.8160811921235726,134.8726208659987,233.3440345,32.14931892580624,0.5716347441930227,962.8835436068412
0.00597531,0.696060383,104.13925873959748,440.3537888973091,31.574789855292742,0.6054962265041995,1697.157478815904
0.005887605,0.9915669912134214,4237.854925733858,766.4574149501836,48.956487235567565,0.7750892423818019,2591.405909123682
0.005988419,0.9863448464813872,721.3281856,201.12475629253348,133.3395095574977,0.8473709434363553,548.7544352341897
0.00612806,0.9502367612474192,4112.559735,1463.484498195928,59.66620171672482,0.5182405535617254,3835.993657249643
0.003910915,1.0136907062261349,1410.229844739013,1122.0480241072896,59.51918135,0.5804469444915732,1810.364996691242
0.003854861,1.0137516011065446,2849.663135903492,1531.6574287371627,70.48426376857873,0.6040525979416285,2717.445845282649
0.006076461,0.9975686210583476,5702.109643578648,1405.1971724383318,210.39925598456028,0.4937742519553157,2447.182108736036
0.007658056,0.7849648946457006,4855.591734969383,1029.812443765234,197.33997983472008,0.5919307290035325,3204.4930304815457
0.003808286,0.4178816502651981,113.59499279498928,2306.4288975629365,19.006587299147665,0.2775412788284637,5294.153439768744
0.006239927,0.96442443,5227.310078811213,1862.2436226239204,64.85747622371441,0.397312953,4096.255735725746
0.007731987,1.0096751398086972,6579.266986472182,1968.08733498264,147.34139478470308,0.1300510564254473,3521.819881
0.005881883,0.8879320611865538,6245.798241289488,1715.0227074475977,171.6605952493223,0.3816847170851832,3000.8017743018754
0.007644206,0.8114934750743587,4990.913971681068,1652.0568658670654,254.7520690728849,0.4522540629150112,3505.1489366586893
0.005894918,0.9755387311505164,4936.866055419418,4319.329028458511,97.79597376,0.0497077181780234,4936.979890743332
0.004044203,0.9789384071836794,4951.840848145936,3414.357989927852,49.64999006230497,0.2370876479533052,4509.0388386319855
0.003874396,0.4919213949005506,5797.663745571766,4246.288515528104,195.11341501093125,0.073414867,4144.077141983546
0.006842965,0.5578951847374735,2050.704812576057,2993.721171772321,157.02842938689682,0.1766412210808987,5568.655233450204
0.007549577,0.9961436112024412,6961.193198980684,895.4005320803252,77.11067215320718,0.4707244613589027,3153.652265442784
0.006088341,1.0072061753183867,7366.917291675636,904.4368222364036,88.27508893087253,0.729079688,2531.884182643477
0.007760392,1.002220961288086,9491.320032354048,473.00555107843246,203.23873984702396,0.6551874695844611,1419.61781964773
0.00770131,1.006986042622807,6734.872335783499,970.5351738069764,245.0171920505045,0.6675449239763106,2243.189178
0.007517234,0.2489255581347685,7085.669396931787,1405.1306262354226,124.50948213729804,-0.072356986,7342.311573054263
0.005747063,0.9881479928161836,9777.600842,1484.217245160906,93.70115173263916,0.250818906,2853.6182870608377
0.007748078,0.976732212,6892.289760938655,981.343222140696,126.14317544051794,0.3850957605478157,2724.819502563602
0.006059278,0.9638701051846312,7538.052779810718,1123.6997609087985,87.94770067231346,0.5371151406163576,2887.8552239409296
0.005825122,0.9840149119366024,7647.308527622659,1541.9638240459578,133.9677273007978,0.3766227912409475,2699.526812940353
0.005873283,0.7990075983415998,9967.904172805862,1575.7097973934349,245.1558783073647,0.2684422902322961,2410.812335885532
0.005613204,0.9980019691893408,7316.824857655194,1514.1505397810286,221.7484576502587,0.4789227044998073,2235.911171
0.006130395,0.9932960205288444,6788.110603358875,1498.1267003232288,256.7929287783549,0.547839068,1957.257472353378
0.006575333,0.8918364610155618,6721.303536944906,1331.6167071833372,214.7833496252999,0.5777414540682018,2584.8605459077294
0.007730211,0.7823994696917301,7452.645776744504,1018.7867150974168,271.0566452548504,0.5210646001585482,2235.204510854728
0.006344508,0.9132262657595412,7177.210883606744,2115.936905254763,107.030993801021,0.1986087959914567,4007.690952223205
0.006413748,0.8031903090514502,9407.368418684631,2241.209624899707,184.8421178435256,0.1084104768197442,2945.7683862110453
0.006114818,0.7907109106359479,7534.966153358429,2256.447833896433,196.80399717438337,0.1773316628897497,3228.0910118592847
0.006259697,0.93546639781229,6805.821676,1880.441193207059,192.7227713518209,0.3556834681964667,3036.4773407968173
0.005994945,0.7771839084870399,9612.801215622232,2713.074490839076,212.56305259021423,0.066482852,3247.704309225096
0.005728618,0.4501243525501784,7225.452936225714,1917.5290180750012,252.1027614975892,0.2767326310207467,3824.588616285553
0.005929373,0.7807290775218335,9646.036453392991,2257.487925085168,272.68769027501645,0.2266404073656772,2090.601311090612
0.006089134,0.756239635,9503.659103,1692.2268507754086,304.9969921447248,0.3763771932812825,1731.4544335150558
0.00750504,0.5049747150068864,7593.70854,2929.007787872166,120.53535181904438,-0.154128468,6196.313800151859
0.007544321,0.9880278838227072,9934.185424147869,3901.031922459717,164.2209424801516,-0.058523797,5194.708426367231
0.006080968,0.8483788380659012,9743.445876,5049.268287031123,231.20897882705165,0.008684457,4083.355934151159
0.005596015,0.9822616597189088,9905.353286256346,3232.6382379604474,266.3942517382894,0.1460599253129609,1884.9071813433272
0.00572407,0.7869601555125333,7524.223247023187,7644.347000784453,283.63907964699644,0.073952498,2783.5261165508377
0.005529917,0.8849671874626592,7044.283667,3406.6546535708485,273.93720557453,0.2508196955203942,2678.7254457851664
0.007780241,0.9822754495572572,14242.832391287158,499.2273620936911,134.28532042153074,0.4404726027604239,1408.1808544320604
0.007680332,0.9534963443798252,10242.965427381368,498.8475854220929,164.9414502988629,0.656872579,1492.3839313879992
0.007713825,1.0186021361266464,9994.12318377202,491.5066164144506,276.6984637475607,0.7145396069411047,1131.4099559613503
